participantID,field,subject_condition,graph_condition,group,question,rating,check,order
s51035,Quantitative,no warning,control,B,40,3,NA,36
s51035,Quantitative,no warning,truncated,B,5,6,NA,16
s51035,Quantitative,no warning,control,B,6,3,NA,11
s51035,Quantitative,no warning,truncated,B,7,7,NA,37
s51035,Quantitative,no warning,control,B,8,4,NA,9
s51035,Quantitative,no warning,truncated,B,9,7,NA,24
s51036,Quantitative,warning,control,A,1,3,right,19
s51036,Quantitative,warning,truncated,A,10,2,right,1
s51036,Quantitative,warning,control,A,11,3,right,29
s51036,Quantitative,warning,truncated,A,12,3,right,40
s51036,Quantitative,warning,control,A,13,5,right,16
s51036,Quantitative,warning,truncated,A,14,6,right,32
s51036,Quantitative,warning,control,A,15,6,right,26
s51036,Quantitative,warning,truncated,A,16,3,right,11
s51036,Quantitative,warning,control,A,17,2,right,39
s51036,Quantitative,warning,truncated,A,18,3,right,25
s51036,Quantitative,warning,control,A,19,5,right,35
s51036,Quantitative,warning,truncated,A,2,3,right,22
s51036,Quantitative,warning,truncated,A,20,4,right,4
s51036,Quantitative,warning,control,A,21,3,right,36
s51036,Quantitative,warning,truncated,A,22,3,right,28
s51036,Quantitative,warning,control,A,23,6,right,17
s51036,Quantitative,warning,truncated,A,24,3,right,21
s51036,Quantitative,warning,control,A,25,5,right,14
s51036,Quantitative,warning,truncated,A,26,5,right,20
s51036,Quantitative,warning,control,A,27,1,right,31
s51036,Quantitative,warning,truncated,A,28,3,right,23
s51036,Quantitative,warning,control,A,29,5,right,38
s51036,Quantitative,warning,control,A,3,2,right,10
s51036,Quantitative,warning,truncated,A,30,3,right,33
s51036,Quantitative,warning,control,A,31,4,right,34
s51036,Quantitative,warning,truncated,A,32,6,right,9
s51036,Quantitative,warning,control,A,33,3,right,24
s51036,Quantitative,warning,truncated,A,34,4,right,27
s51036,Quantitative,warning,control,A,35,5,right,18
s51036,Quantitative,warning,truncated,A,36,2,right,30
s51036,Quantitative,warning,control,A,37,3,right,13
s51036,Quantitative,warning,truncated,A,38,4,right,5
s51036,Quantitative,warning,control,A,39,1,right,12
s51036,Quantitative,warning,truncated,A,4,3,right,37
s51036,Quantitative,warning,truncated,A,40,2,right,2
s51036,Quantitative,warning,control,A,5,4,right,8
s51036,Quantitative,warning,truncated,A,6,4,right,15
