participantid,session,duration,subject_condition,graph_condition,group,question,time
s41001,1,191,no warning,truncated,2B,1,2.581
s41001,1,191,no warning,control,2B,2,1.936
s41001,1,191,no warning,truncated,2B,3,1.223
s41001,1,191,no warning,control,2B,4,1.621
s41001,1,191,no warning,truncated,2B,5,1.332
s41001,1,191,no warning,control,2B,6,1.644
s41001,1,191,no warning,truncated,2B,7,1.563
s41001,1,191,no warning,control,2B,8,2.497
s41001,1,191,no warning,truncated,2B,9,3.18
s41001,1,191,no warning,control,2B,10,3.565
s41001,1,191,no warning,truncated,2B,11,4.953
s41001,1,191,no warning,control,2B,12,1.768
s41001,1,191,no warning,truncated,2B,13,2.945
s41001,1,191,no warning,control,2B,14,2.682
s41001,1,191,no warning,truncated,2B,15,1.24
s41001,1,191,no warning,control,2B,16,1.818
s41001,1,191,no warning,truncated,2B,17,1.037
s41001,1,191,no warning,control,2B,18,2.386
s41001,1,191,no warning,truncated,2B,19,2.089
s41001,1,191,no warning,control,2B,20,3.066
s41001,1,191,no warning,truncated,2B,21,1.652
s41001,1,191,no warning,control,2B,22,1.097
s41001,1,191,no warning,truncated,2B,23,2.534
s41001,1,191,no warning,control,2B,24,1.801
s41001,1,191,no warning,truncated,2B,25,1.932
s41001,1,191,no warning,control,2B,26,2.064
s41001,1,191,no warning,truncated,2B,27,2.876
s41001,1,191,no warning,control,2B,28,1.099
s41001,1,191,no warning,truncated,2B,29,2.339
s41001,1,191,no warning,control,2B,30,5.004
s41001,1,191,no warning,truncated,2B,31,1.324
s41001,1,191,no warning,control,2B,32,2.288
s41001,1,191,no warning,truncated,2B,33,1.38
s41001,1,191,no warning,control,2B,34,1.496
s41001,1,191,no warning,truncated,2B,35,1.892
s41001,1,191,no warning,control,2B,36,1.69
s41001,1,191,no warning,truncated,2B,37,2.126
s41001,1,191,no warning,control,2B,38,1.122
s41001,1,191,no warning,truncated,2B,39,2.817
s41001,1,191,no warning,control,2B,40,1.088
s41001,2,1829,no warning,control,1A,1,1.431
s41001,2,1829,no warning,truncated,1A,2,8.071
s41001,2,1829,no warning,control,1A,3,1.708
s41001,2,1829,no warning,truncated,1A,4,1.41
s41001,2,1829,no warning,control,1A,5,1.431
s41001,2,1829,no warning,truncated,1A,6,1.406
s41001,2,1829,no warning,control,1A,7,2.162
s41001,2,1829,no warning,truncated,1A,8,1.894
s41001,2,1829,no warning,control,1A,9,3.064
s41001,2,1829,no warning,truncated,1A,10,3.92
s41001,2,1829,no warning,control,1A,11,2.668
s41001,2,1829,no warning,truncated,1A,12,3.291
s41001,2,1829,no warning,control,1A,13,1.549
s41001,2,1829,no warning,truncated,1A,14,3.58
s41001,2,1829,no warning,control,1A,15,1.343
s41001,2,1829,no warning,truncated,1A,16,2.091
s41001,2,1829,no warning,control,1A,17,1.957
s41001,2,1829,no warning,truncated,1A,18,2.752
s41001,2,1829,no warning,control,1A,19,2.235
s41001,2,1829,no warning,truncated,1A,20,1.568
s41001,2,1829,no warning,control,1A,21,2.214
s41001,2,1829,no warning,truncated,1A,22,1.762
s41001,2,1829,no warning,control,1A,23,4.021
s41001,2,1829,no warning,truncated,1A,24,2.727
s41001,2,1829,no warning,control,1A,25,5.106
s41001,2,1829,no warning,truncated,1A,26,2.651
s41001,2,1829,no warning,control,1A,27,1.582
s41001,2,1829,no warning,truncated,1A,28,5.513
s41001,2,1829,no warning,control,1A,29,4.094
s41001,2,1829,no warning,truncated,1A,30,3.523
s41001,2,1829,no warning,control,1A,31,1.963
s41001,2,1829,no warning,truncated,1A,32,3.163
s41001,2,1829,no warning,control,1A,33,1.83
s41001,2,1829,no warning,truncated,1A,34,1.383
s41001,2,1829,no warning,control,1A,35,3.746
s41001,2,1829,no warning,truncated,1A,36,1.338
s41001,2,1829,no warning,control,1A,37,1.826
s41001,2,1829,no warning,truncated,1A,38,8.144
s41001,2,1829,no warning,control,1A,39,2.325
s41001,2,1829,no warning,truncated,1A,40,1.381
s41002,1,244,no warning,control,2A,1,4.163
s41002,1,244,no warning,truncated,2A,2,3.801
s41002,1,244,no warning,control,2A,3,4.68
s41002,1,244,no warning,truncated,2A,4,3.517
s41002,1,244,no warning,control,2A,5,3.554
s41002,1,244,no warning,truncated,2A,6,4.202
s41002,1,244,no warning,control,2A,7,4.981
s41002,1,244,no warning,truncated,2A,8,2.91
s41002,1,244,no warning,control,2A,9,15.6
s41002,1,244,no warning,truncated,2A,10,4.172
s41002,1,244,no warning,control,2A,11,3.161
s41002,1,244,no warning,truncated,2A,12,2.864
s41002,1,244,no warning,control,2A,13,3.736
s41002,1,244,no warning,truncated,2A,14,7.263
s41002,1,244,no warning,control,2A,15,4.444
s41002,1,244,no warning,truncated,2A,16,2.875
s41002,1,244,no warning,control,2A,17,2.999
s41002,1,244,no warning,truncated,2A,18,2.709
s41002,1,244,no warning,control,2A,19,4.662
s41002,1,244,no warning,truncated,2A,20,7.98
s41002,1,244,no warning,control,2A,21,4.267
s41002,1,244,no warning,truncated,2A,22,3.829
s41002,1,244,no warning,control,2A,23,7.287
s41002,1,244,no warning,truncated,2A,24,2.666
s41002,1,244,no warning,control,2A,25,3.557
s41002,1,244,no warning,truncated,2A,26,3.027
s41002,1,244,no warning,control,2A,27,3.462
s41002,1,244,no warning,truncated,2A,28,5.505
s41002,1,244,no warning,control,2A,29,3.18
s41002,1,244,no warning,truncated,2A,30,4.856
s41002,1,244,no warning,control,2A,31,4.779
s41002,1,244,no warning,truncated,2A,32,2.949
s41002,1,244,no warning,control,2A,33,4.345
s41002,1,244,no warning,truncated,2A,34,6.433
s41002,1,244,no warning,control,2A,35,6.59
s41002,1,244,no warning,truncated,2A,36,4.645
s41002,1,244,no warning,control,2A,37,4.554
s41002,1,244,no warning,truncated,2A,38,3.188
s41002,1,244,no warning,control,2A,39,6.39
s41002,1,244,no warning,truncated,2A,40,2.297
s41002,2,698,no warning,truncated,1B,1,7.703
s41002,2,698,no warning,control,1B,2,5.259
s41002,2,698,no warning,truncated,1B,3,3.141
s41002,2,698,no warning,control,1B,4,3.721
s41002,2,698,no warning,truncated,1B,5,5.213
s41002,2,698,no warning,control,1B,6,4.785
s41002,2,698,no warning,truncated,1B,7,3.744
s41002,2,698,no warning,control,1B,8,3.365
s41002,2,698,no warning,truncated,1B,9,3.837
s41002,2,698,no warning,control,1B,10,4.795
s41002,2,698,no warning,truncated,1B,11,3.031
s41002,2,698,no warning,control,1B,12,6.589
s41002,2,698,no warning,truncated,1B,13,3.619
s41002,2,698,no warning,control,1B,14,3.588
s41002,2,698,no warning,truncated,1B,15,8.026
s41002,2,698,no warning,control,1B,16,7.973
s41002,2,698,no warning,truncated,1B,17,9.119
s41002,2,698,no warning,control,1B,18,6.892
s41002,2,698,no warning,truncated,1B,19,5.289
s41002,2,698,no warning,control,1B,20,5.881
s41002,2,698,no warning,truncated,1B,21,4.918
s41002,2,698,no warning,control,1B,22,3.657
s41002,2,698,no warning,truncated,1B,23,5.331
s41002,2,698,no warning,control,1B,24,4.258
s41002,2,698,no warning,truncated,1B,25,3.728
s41002,2,698,no warning,control,1B,26,7.652
s41002,2,698,no warning,truncated,1B,27,3.226
s41002,2,698,no warning,control,1B,28,3.848
s41002,2,698,no warning,truncated,1B,29,2.519
s41002,2,698,no warning,control,1B,30,6.192
s41002,2,698,no warning,truncated,1B,31,3.397
s41002,2,698,no warning,control,1B,32,5.809
s41002,2,698,no warning,truncated,1B,33,3.266
s41002,2,698,no warning,control,1B,34,4.095
s41002,2,698,no warning,truncated,1B,35,4.051
s41002,2,698,no warning,control,1B,36,2.759
s41002,2,698,no warning,truncated,1B,37,3.759
s41002,2,698,no warning,control,1B,38,12.439
s41002,2,698,no warning,truncated,1B,39,5.685
s41002,2,698,no warning,control,1B,40,3.302
s41003,1,426,warning,control,1A,1,6.291
s41003,1,426,warning,truncated,1A,2,6.443
s41003,1,426,warning,control,1A,3,6.091
s41003,1,426,warning,truncated,1A,4,5.532
s41003,1,426,warning,control,1A,5,5.549
s41003,1,426,warning,truncated,1A,6,7.382
s41003,1,426,warning,control,1A,7,7.752
s41003,1,426,warning,truncated,1A,8,7.356
s41003,1,426,warning,control,1A,9,6.093
s41003,1,426,warning,truncated,1A,10,5.577
s41003,1,426,warning,control,1A,11,8.749
s41003,1,426,warning,truncated,1A,12,6.627
s41003,1,426,warning,control,1A,13,5.495
s41003,1,426,warning,truncated,1A,14,9.495
s41003,1,426,warning,control,1A,15,7.301
s41003,1,426,warning,truncated,1A,16,7.47
s41003,1,426,warning,control,1A,17,5.877
s41003,1,426,warning,truncated,1A,18,7.008
s41003,1,426,warning,control,1A,19,9.291
s41003,1,426,warning,truncated,1A,20,6.539
s41003,1,426,warning,control,1A,21,8.507
s41003,1,426,warning,truncated,1A,22,5.688
s41003,1,426,warning,control,1A,23,5.789
s41003,1,426,warning,truncated,1A,24,7.02
s41003,1,426,warning,control,1A,25,8.409
s41003,1,426,warning,truncated,1A,26,6.362
s41003,1,426,warning,control,1A,27,5.268
s41003,1,426,warning,truncated,1A,28,8.114
s41003,1,426,warning,control,1A,29,4.769
s41003,1,426,warning,truncated,1A,30,8.172
s41003,1,426,warning,control,1A,31,4.743
s41003,1,426,warning,truncated,1A,32,9.008
s41003,1,426,warning,control,1A,33,5.204
s41003,1,426,warning,truncated,1A,34,7.288
s41003,1,426,warning,control,1A,35,8.466
s41003,1,426,warning,truncated,1A,36,10.016
s41003,1,426,warning,control,1A,37,5.891
s41003,1,426,warning,truncated,1A,38,14.148
s41003,1,426,warning,control,1A,39,4.152
s41003,1,426,warning,truncated,1A,40,10.339
s41003,2,380,warning,truncated,2B,1,6.587
s41003,2,380,warning,control,2B,2,10.48
s41003,2,380,warning,truncated,2B,3,7.066
s41003,2,380,warning,control,2B,4,5.313
s41003,2,380,warning,truncated,2B,5,5.155
s41003,2,380,warning,control,2B,6,6.645
s41003,2,380,warning,truncated,2B,7,7.594
s41003,2,380,warning,control,2B,8,5.303
s41003,2,380,warning,truncated,2B,9,7.868
s41003,2,380,warning,control,2B,10,4.327
s41003,2,380,warning,truncated,2B,11,4.952
s41003,2,380,warning,control,2B,12,6.852
s41003,2,380,warning,truncated,2B,13,7.673
s41003,2,380,warning,control,2B,14,11.138
s41003,2,380,warning,truncated,2B,15,7.113
s41003,2,380,warning,control,2B,16,4.28
s41003,2,380,warning,truncated,2B,17,5.644
s41003,2,380,warning,control,2B,18,4.814
s41003,2,380,warning,truncated,2B,19,6.017
s41003,2,380,warning,control,2B,20,6.048
s41003,2,380,warning,truncated,2B,21,4.438
s41003,2,380,warning,control,2B,22,9.739
s41003,2,380,warning,truncated,2B,23,5.897
s41003,2,380,warning,control,2B,24,4.656
s41003,2,380,warning,truncated,2B,25,4.337
s41003,2,380,warning,control,2B,26,5.122
s41003,2,380,warning,truncated,2B,27,4.669
s41003,2,380,warning,control,2B,28,6.065
s41003,2,380,warning,truncated,2B,29,5.082
s41003,2,380,warning,control,2B,30,12.668
s41003,2,380,warning,truncated,2B,31,6.509
s41003,2,380,warning,control,2B,32,6.165
s41003,2,380,warning,truncated,2B,33,6.904
s41003,2,380,warning,control,2B,34,8.506
s41003,2,380,warning,truncated,2B,35,13.624
s41003,2,380,warning,control,2B,36,5.834
s41003,2,380,warning,truncated,2B,37,5.676
s41003,2,380,warning,control,2B,38,6.981
s41003,2,380,warning,truncated,2B,39,11.173
s41003,2,380,warning,control,2B,40,9.652
s41004,1,390,no warning,truncated,1B,1,5.025
s41004,1,390,no warning,control,1B,2,21.476
s41004,1,390,no warning,truncated,1B,3,5.786
s41004,1,390,no warning,control,1B,4,5.341
s41004,1,390,no warning,truncated,1B,5,8.65
s41004,1,390,no warning,control,1B,6,2.594
s41004,1,390,no warning,truncated,1B,7,3.823
s41004,1,390,no warning,control,1B,8,4.1
s41004,1,390,no warning,truncated,1B,9,5.535
s41004,1,390,no warning,control,1B,10,7.465
s41004,1,390,no warning,truncated,1B,11,6.529
s41004,1,390,no warning,control,1B,12,8.208
s41004,1,390,no warning,truncated,1B,13,5.808
s41004,1,390,no warning,control,1B,14,4.515
s41004,1,390,no warning,truncated,1B,15,7.41
s41004,1,390,no warning,control,1B,16,7.746
s41004,1,390,no warning,truncated,1B,17,4.713
s41004,1,390,no warning,control,1B,18,20.476
s41004,1,390,no warning,truncated,1B,19,8.97
s41004,1,390,no warning,control,1B,20,7.65
s41004,1,390,no warning,truncated,1B,21,11.533
s41004,1,390,no warning,control,1B,22,5.37
s41004,1,390,no warning,truncated,1B,23,5.996
s41004,1,390,no warning,control,1B,24,5.035
s41004,1,390,no warning,truncated,1B,25,5.994
s41004,1,390,no warning,control,1B,26,7.479
s41004,1,390,no warning,truncated,1B,27,8.646
s41004,1,390,no warning,control,1B,28,5.894
s41004,1,390,no warning,truncated,1B,29,4.53
s41004,1,390,no warning,control,1B,30,5.484
s41004,1,390,no warning,truncated,1B,31,4.933
s41004,1,390,no warning,control,1B,32,4.316
s41004,1,390,no warning,truncated,1B,33,5.154
s41004,1,390,no warning,control,1B,34,6.723
s41004,1,390,no warning,truncated,1B,35,7.837
s41004,1,390,no warning,control,1B,36,4.766
s41004,1,390,no warning,truncated,1B,37,7.79
s41004,1,390,no warning,control,1B,38,8.162
s41004,1,390,no warning,truncated,1B,39,3.028
s41004,1,390,no warning,control,1B,40,7.552
s41004,2,597,no warning,control,2A,1,6.52
s41004,2,597,no warning,truncated,2A,2,9.05
s41004,2,597,no warning,control,2A,3,6.741
s41004,2,597,no warning,truncated,2A,4,10.416
s41004,2,597,no warning,control,2A,5,5.737
s41004,2,597,no warning,truncated,2A,6,7.39
s41004,2,597,no warning,control,2A,7,7.559
s41004,2,597,no warning,truncated,2A,8,26.808
s41004,2,597,no warning,control,2A,9,6.625
s41004,2,597,no warning,truncated,2A,10,6.565
s41004,2,597,no warning,control,2A,11,5.5
s41004,2,597,no warning,truncated,2A,12,5.899
s41004,2,597,no warning,control,2A,13,6.361
s41004,2,597,no warning,truncated,2A,14,5.753
s41004,2,597,no warning,control,2A,15,21.197
s41004,2,597,no warning,truncated,2A,16,4.866
s41004,2,597,no warning,control,2A,17,4.978
s41004,2,597,no warning,truncated,2A,18,6.257
s41004,2,597,no warning,control,2A,19,9.765
s41004,2,597,no warning,truncated,2A,20,5.386
s41004,2,597,no warning,control,2A,21,14.629
s41004,2,597,no warning,truncated,2A,22,10.199
s41004,2,597,no warning,control,2A,23,3.653
s41004,2,597,no warning,truncated,2A,24,7.49
s41004,2,597,no warning,control,2A,25,7.342
s41004,2,597,no warning,truncated,2A,26,8.212
s41004,2,597,no warning,control,2A,27,9.985
s41004,2,597,no warning,truncated,2A,28,5.596
s41004,2,597,no warning,control,2A,29,7.223
s41004,2,597,no warning,truncated,2A,30,8.862
s41004,2,597,no warning,control,2A,31,8.458
s41004,2,597,no warning,truncated,2A,32,9.421
s41004,2,597,no warning,control,2A,33,5.748
s41004,2,597,no warning,truncated,2A,34,8.138
s41004,2,597,no warning,control,2A,35,11.747
s41004,2,597,no warning,truncated,2A,36,6.139
s41004,2,597,no warning,control,2A,37,6.933
s41004,2,597,no warning,truncated,2A,38,5.109
s41004,2,597,no warning,control,2A,39,8.301
s41004,2,597,no warning,truncated,2A,40,15.242
s41005,1,450,no warning,control,2A,1,5.621
s41005,1,450,no warning,truncated,2A,2,9.577
s41005,1,450,no warning,control,2A,3,8.923
s41005,1,450,no warning,truncated,2A,4,5.333
s41005,1,450,no warning,control,2A,5,7.079
s41005,1,450,no warning,truncated,2A,6,9.938
s41005,1,450,no warning,control,2A,7,6.795
s41005,1,450,no warning,truncated,2A,8,5.135
s41005,1,450,no warning,control,2A,9,6.803
s41005,1,450,no warning,truncated,2A,10,7.336
s41005,1,450,no warning,control,2A,11,6.321
s41005,1,450,no warning,truncated,2A,12,5.599
s41005,1,450,no warning,control,2A,13,8.106
s41005,1,450,no warning,truncated,2A,14,13.612
s41005,1,450,no warning,control,2A,15,9.429
s41005,1,450,no warning,truncated,2A,16,6.752
s41005,1,450,no warning,control,2A,17,16.434
s41005,1,450,no warning,truncated,2A,18,7.54
s41005,1,450,no warning,control,2A,19,30.323
s41005,1,450,no warning,truncated,2A,20,6.755
s41005,1,450,no warning,control,2A,21,7.023
s41005,1,450,no warning,truncated,2A,22,6.744
s41005,1,450,no warning,control,2A,23,8.623
s41005,1,450,no warning,truncated,2A,24,6.953
s41005,1,450,no warning,control,2A,25,4.597
s41005,1,450,no warning,truncated,2A,26,6.561
s41005,1,450,no warning,control,2A,27,4.927
s41005,1,450,no warning,truncated,2A,28,7.538
s41005,1,450,no warning,control,2A,29,9.176
s41005,1,450,no warning,truncated,2A,30,10.796
s41005,1,450,no warning,control,2A,31,9.761
s41005,1,450,no warning,truncated,2A,32,6.683
s41005,1,450,no warning,control,2A,33,9.279
s41005,1,450,no warning,truncated,2A,34,7.215
s41005,1,450,no warning,control,2A,35,10.208
s41005,1,450,no warning,truncated,2A,36,7.899
s41005,1,450,no warning,control,2A,37,6.178
s41005,1,450,no warning,truncated,2A,38,6.112
s41005,1,450,no warning,control,2A,39,6.428
s41005,1,450,no warning,truncated,2A,40,6.325
s41005,2,468,no warning,control,1A,1,33.534
s41005,2,468,no warning,truncated,1A,2,8.788
s41005,2,468,no warning,control,1A,3,8.136
s41005,2,468,no warning,truncated,1A,4,5.495
s41005,2,468,no warning,control,1A,5,26.225
s41005,2,468,no warning,truncated,1A,6,13.076
s41005,2,468,no warning,control,1A,7,7.589
s41005,2,468,no warning,truncated,1A,8,9.524
s41005,2,468,no warning,control,1A,9,5.154
s41005,2,468,no warning,truncated,1A,10,7.119
s41005,2,468,no warning,control,1A,11,7.607
s41005,2,468,no warning,truncated,1A,12,6.277
s41005,2,468,no warning,control,1A,13,9.563
s41005,2,468,no warning,truncated,1A,14,7.223
s41005,2,468,no warning,control,1A,15,6.23
s41005,2,468,no warning,truncated,1A,16,7.033
s41005,2,468,no warning,control,1A,17,5.888
s41005,2,468,no warning,truncated,1A,18,8.941
s41005,2,468,no warning,control,1A,19,8.328
s41005,2,468,no warning,truncated,1A,20,8.76
s41005,2,468,no warning,control,1A,21,8.859
s41005,2,468,no warning,truncated,1A,22,6.177
s41005,2,468,no warning,control,1A,23,5.12
s41005,2,468,no warning,truncated,1A,24,7.103
s41005,2,468,no warning,control,1A,25,9.333
s41005,2,468,no warning,truncated,1A,26,6.6
s41005,2,468,no warning,control,1A,27,14.801
s41005,2,468,no warning,truncated,1A,28,7.181
s41005,2,468,no warning,control,1A,29,6.375
s41005,2,468,no warning,truncated,1A,30,6.692
s41005,2,468,no warning,control,1A,31,5.8
s41005,2,468,no warning,truncated,1A,32,5.541
s41005,2,468,no warning,control,1A,33,6.066
s41005,2,468,no warning,truncated,1A,34,9.798
s41005,2,468,no warning,control,1A,35,9.404
s41005,2,468,no warning,truncated,1A,36,9.096
s41005,2,468,no warning,control,1A,37,8.139
s41005,2,468,no warning,truncated,1A,38,10.485
s41005,2,468,no warning,control,1A,39,13.062
s41005,2,468,no warning,truncated,1A,40,7.739
s41006,1,328,no warning,control,2A,1,5.114
s41006,1,328,no warning,truncated,2A,2,3.701
s41006,1,328,no warning,control,2A,3,7.225
s41006,1,328,no warning,truncated,2A,4,4.318
s41006,1,328,no warning,control,2A,5,6.775
s41006,1,328,no warning,truncated,2A,6,6.891
s41006,1,328,no warning,control,2A,7,6.176
s41006,1,328,no warning,truncated,2A,8,10.481
s41006,1,328,no warning,control,2A,9,5.549
s41006,1,328,no warning,truncated,2A,10,7.423
s41006,1,328,no warning,control,2A,11,5.631
s41006,1,328,no warning,truncated,2A,12,7.208
s41006,1,328,no warning,control,2A,13,5.409
s41006,1,328,no warning,truncated,2A,14,4.303
s41006,1,328,no warning,control,2A,15,4.474
s41006,1,328,no warning,truncated,2A,16,4.829
s41006,1,328,no warning,control,2A,17,8.681
s41006,1,328,no warning,truncated,2A,18,3.542
s41006,1,328,no warning,control,2A,19,6.791
s41006,1,328,no warning,truncated,2A,20,4.376
s41006,1,328,no warning,control,2A,21,4.762
s41006,1,328,no warning,truncated,2A,22,4.803
s41006,1,328,no warning,control,2A,23,7.435
s41006,1,328,no warning,truncated,2A,24,5.517
s41006,1,328,no warning,control,2A,25,4.328
s41006,1,328,no warning,truncated,2A,26,4.26
s41006,1,328,no warning,control,2A,27,3.539
s41006,1,328,no warning,truncated,2A,28,6.867
s41006,1,328,no warning,control,2A,29,7.967
s41006,1,328,no warning,truncated,2A,30,5.899
s41006,1,328,no warning,control,2A,31,5.847
s41006,1,328,no warning,truncated,2A,32,4.388
s41006,1,328,no warning,control,2A,33,5.48
s41006,1,328,no warning,truncated,2A,34,5.428
s41006,1,328,no warning,control,2A,35,9.384
s41006,1,328,no warning,truncated,2A,36,3.713
s41006,1,328,no warning,control,2A,37,4.26
s41006,1,328,no warning,truncated,2A,38,21.38
s41006,1,328,no warning,control,2A,39,6.371
s41006,1,328,no warning,truncated,2A,40,7.03
s41006,2,319,no warning,truncated,1B,1,3.767
s41006,2,319,no warning,control,1B,2,7.108
s41006,2,319,no warning,truncated,1B,3,3.679
s41006,2,319,no warning,control,1B,4,8.788
s41006,2,319,no warning,truncated,1B,5,6.637
s41006,2,319,no warning,control,1B,6,5.673
s41006,2,319,no warning,truncated,1B,7,3.491
s41006,2,319,no warning,control,1B,8,4.314
s41006,2,319,no warning,truncated,1B,9,3.832
s41006,2,319,no warning,control,1B,10,8.95
s41006,2,319,no warning,truncated,1B,11,3.562
s41006,2,319,no warning,control,1B,12,6.825
s41006,2,319,no warning,truncated,1B,13,4.51
s41006,2,319,no warning,control,1B,14,9.068
s41006,2,319,no warning,truncated,1B,15,4.36
s41006,2,319,no warning,control,1B,16,6.288
s41006,2,319,no warning,truncated,1B,17,3.561
s41006,2,319,no warning,control,1B,18,8.006
s41006,2,319,no warning,truncated,1B,19,6.613
s41006,2,319,no warning,control,1B,20,4.249
s41006,2,319,no warning,truncated,1B,21,9.595
s41006,2,319,no warning,control,1B,22,3.762
s41006,2,319,no warning,truncated,1B,23,3.6
s41006,2,319,no warning,control,1B,24,4.963
s41006,2,319,no warning,truncated,1B,25,4.366
s41006,2,319,no warning,control,1B,26,4.136
s41006,2,319,no warning,truncated,1B,27,4.128
s41006,2,319,no warning,control,1B,28,3.974
s41006,2,319,no warning,truncated,1B,29,5.213
s41006,2,319,no warning,control,1B,30,4.704
s41006,2,319,no warning,truncated,1B,31,5.403
s41006,2,319,no warning,control,1B,32,3.789
s41006,2,319,no warning,truncated,1B,33,3.485
s41006,2,319,no warning,control,1B,34,6.063
s41006,2,319,no warning,truncated,1B,35,4.506
s41006,2,319,no warning,control,1B,36,3.631
s41006,2,319,no warning,truncated,1B,37,5.572
s41006,2,319,no warning,control,1B,38,7.995
s41006,2,319,no warning,truncated,1B,39,5.723
s41006,2,319,no warning,control,1B,40,4.272
s41007,1,499,no warning,truncated,1B,1,8.881
s41007,1,499,no warning,control,1B,2,7.78
s41007,1,499,no warning,truncated,1B,3,7.036
s41007,1,499,no warning,control,1B,4,5.849
s41007,1,499,no warning,truncated,1B,5,9.436
s41007,1,499,no warning,control,1B,6,9.102
s41007,1,499,no warning,truncated,1B,7,6.107
s41007,1,499,no warning,control,1B,8,6.826
s41007,1,499,no warning,truncated,1B,9,8.379
s41007,1,499,no warning,control,1B,10,9.654
s41007,1,499,no warning,truncated,1B,11,7.459
s41007,1,499,no warning,control,1B,12,11.728
s41007,1,499,no warning,truncated,1B,13,5.233
s41007,1,499,no warning,control,1B,14,7.309
s41007,1,499,no warning,truncated,1B,15,7.341
s41007,1,499,no warning,control,1B,16,6.013
s41007,1,499,no warning,truncated,1B,17,5.969
s41007,1,499,no warning,control,1B,18,10.549
s41007,1,499,no warning,truncated,1B,19,10.054
s41007,1,499,no warning,control,1B,20,15.625
s41007,1,499,no warning,truncated,1B,21,12.817
s41007,1,499,no warning,control,1B,22,5.581
s41007,1,499,no warning,truncated,1B,23,9.842
s41007,1,499,no warning,control,1B,24,13.234
s41007,1,499,no warning,truncated,1B,25,4.579
s41007,1,499,no warning,control,1B,26,8.27
s41007,1,499,no warning,truncated,1B,27,7.8
s41007,1,499,no warning,control,1B,28,6.139
s41007,1,499,no warning,truncated,1B,29,4.41
s41007,1,499,no warning,control,1B,30,8.963
s41007,1,499,no warning,truncated,1B,31,8.971
s41007,1,499,no warning,control,1B,32,4.396
s41007,1,499,no warning,truncated,1B,33,13.913
s41007,1,499,no warning,control,1B,34,11.594
s41007,1,499,no warning,truncated,1B,35,12.397
s41007,1,499,no warning,control,1B,36,5.74
s41007,1,499,no warning,truncated,1B,37,9.595
s41007,1,499,no warning,control,1B,38,15.739
s41007,1,499,no warning,truncated,1B,39,10.981
s41007,1,499,no warning,control,1B,40,9.352
s41007,2,1107,no warning,control,2A,1,9.369
s41007,2,1107,no warning,truncated,2A,2,6.287
s41007,2,1107,no warning,control,2A,3,10.963
s41007,2,1107,no warning,truncated,2A,4,5.105
s41007,2,1107,no warning,control,2A,5,11.839
s41007,2,1107,no warning,truncated,2A,6,48.782
s41007,2,1107,no warning,control,2A,7,8.44
s41007,2,1107,no warning,truncated,2A,8,26.91
s41007,2,1107,no warning,control,2A,9,6.577
s41007,2,1107,no warning,truncated,2A,10,11.046
s41007,2,1107,no warning,control,2A,11,6.411
s41007,2,1107,no warning,truncated,2A,12,6.323
s41007,2,1107,no warning,control,2A,13,7.131
s41007,2,1107,no warning,truncated,2A,14,4.917
s41007,2,1107,no warning,control,2A,15,6.859
s41007,2,1107,no warning,truncated,2A,16,8.039
s41007,2,1107,no warning,control,2A,17,6.712
s41007,2,1107,no warning,truncated,2A,18,6.433
s41007,2,1107,no warning,control,2A,19,7.068
s41007,2,1107,no warning,truncated,2A,20,4.133
s41007,2,1107,no warning,control,2A,21,6.362
s41007,2,1107,no warning,truncated,2A,22,24.715
s41007,2,1107,no warning,control,2A,23,7.415
s41007,2,1107,no warning,truncated,2A,24,7.903
s41007,2,1107,no warning,control,2A,25,7.556
s41007,2,1107,no warning,truncated,2A,26,5.226
s41007,2,1107,no warning,control,2A,27,22.605
s41007,2,1107,no warning,truncated,2A,28,9.202
s41007,2,1107,no warning,control,2A,29,6.489
s41007,2,1107,no warning,truncated,2A,30,6.991
s41007,2,1107,no warning,control,2A,31,6.659
s41007,2,1107,no warning,truncated,2A,32,10.729
s41007,2,1107,no warning,control,2A,33,9.549
s41007,2,1107,no warning,truncated,2A,34,7.28
s41007,2,1107,no warning,control,2A,35,8.083
s41007,2,1107,no warning,truncated,2A,36,9.554
s41007,2,1107,no warning,control,2A,37,7.896
s41007,2,1107,no warning,truncated,2A,38,8.151
s41007,2,1107,no warning,control,2A,39,5.721
s41007,2,1107,no warning,truncated,2A,40,3.374
s41008,1,498,no warning,control,2A,1,5.771
s41008,1,498,no warning,truncated,2A,2,7.459
s41008,1,498,no warning,control,2A,3,6.954
s41008,1,498,no warning,truncated,2A,4,6.559
s41008,1,498,no warning,control,2A,5,5.469
s41008,1,498,no warning,truncated,2A,6,8.48
s41008,1,498,no warning,control,2A,7,8.374
s41008,1,498,no warning,truncated,2A,8,42.941
s41008,1,498,no warning,control,2A,9,7.314
s41008,1,498,no warning,truncated,2A,10,3.063
s41008,1,498,no warning,control,2A,11,4.817
s41008,1,498,no warning,truncated,2A,12,5.576
s41008,1,498,no warning,control,2A,13,11.101
s41008,1,498,no warning,truncated,2A,14,50.131
s41008,1,498,no warning,control,2A,15,5.944
s41008,1,498,no warning,truncated,2A,16,4.63
s41008,1,498,no warning,control,2A,17,34.969
s41008,1,498,no warning,truncated,2A,18,11.219
s41008,1,498,no warning,control,2A,19,5.837
s41008,1,498,no warning,truncated,2A,20,4.486
s41008,1,498,no warning,control,2A,21,5.36
s41008,1,498,no warning,truncated,2A,22,9.924
