participantID,group,duration,condition,question,time
s11001,A,413,control,1,6.38
s11001,A,413,truncated,2,4.108
s11001,A,413,control,3,4.567
s11001,A,413,truncated,4,3.97
s11001,A,413,control,5,7.281
s11001,A,413,truncated,6,5.508
s11001,A,413,control,7,5.216
s11001,A,413,truncated,8,4.449
s11001,A,413,control,9,7.688
s11001,A,413,truncated,10,4.727
s11001,A,413,control,11,16.3
s11001,A,413,truncated,12,6.046
s11001,A,413,control,13,4.244
s11001,A,413,truncated,14,4.084
s11001,A,413,control,15,4.839
s11001,A,413,truncated,16,2.705
s11001,A,413,control,17,4.526
s11001,A,413,truncated,18,3.928
s11001,A,413,control,19,8.796
s11001,A,413,truncated,20,6.432
s11001,A,413,control,21,7.058
s11001,A,413,truncated,22,5.722
s11001,A,413,control,23,4.516
s11001,A,413,truncated,24,4.954
s11001,A,413,control,25,3.619
s11001,A,413,truncated,26,34.81
s11001,A,413,control,27,4.339
s11001,A,413,truncated,28,12.118
s11001,A,413,control,29,4.774
s11001,A,413,truncated,30,6.293
s11001,A,413,control,31,4.507
s11001,A,413,truncated,32,4.539
s11001,A,413,control,33,6.578
s11001,A,413,truncated,34,5.336
s11001,A,413,control,35,5.176
s11001,A,413,truncated,36,9.268
s11001,A,413,control,37,7.195
s11001,A,413,truncated,38,7.351
s11001,A,413,control,39,6.099
s11001,A,413,truncated,40,5.839
s11002,A,417,control,1,3.616
s11002,A,417,truncated,2,9.735
s11002,A,417,control,3,5.005
s11002,A,417,truncated,4,3.464
s11002,A,417,control,5,7.365
s11002,A,417,truncated,6,2.908
s11002,A,417,control,7,4.867
s11002,A,417,truncated,8,5.124
s11002,A,417,control,9,11.446
s11002,A,417,truncated,10,3.591
s11002,A,417,control,11,5.454
s11002,A,417,truncated,12,4.552
s11002,A,417,control,13,4.962
s11002,A,417,truncated,14,3.549
s11002,A,417,control,15,5.665
s11002,A,417,truncated,16,12.241
s11002,A,417,control,17,4.07
s11002,A,417,truncated,18,5.06
s11002,A,417,control,19,3.696
s11002,A,417,truncated,20,10.3
s11002,A,417,control,21,3.979
s11002,A,417,truncated,22,4.1
s11002,A,417,control,23,4.387
s11002,A,417,truncated,24,5.873
s11002,A,417,control,25,5.815
s11002,A,417,truncated,26,4.442
s11002,A,417,control,27,4.213
s11002,A,417,truncated,28,2.935
s11002,A,417,control,29,3.692
s11002,A,417,truncated,30,5.001
s11002,A,417,control,31,4.82
s11002,A,417,truncated,32,2.14
s11002,A,417,control,33,53.211
s11002,A,417,truncated,34,4.25
s11002,A,417,control,35,5.107
s11002,A,417,truncated,36,1.794
s11002,A,417,control,37,4.081
s11002,A,417,truncated,38,6.914
s11002,A,417,control,39,2.545
s11002,A,417,truncated,40,3.05
s11003,B,428,truncated,1,2.772
s11003,B,428,control,2,1.336
s11003,B,428,truncated,3,1.955
s11003,B,428,control,4,4.679
s11003,B,428,truncated,5,8.392
s11003,B,428,control,6,2.869
s11003,B,428,truncated,7,3.995
s11003,B,428,control,8,5.432
s11003,B,428,truncated,9,26.605
s11003,B,428,control,10,3.704
s11003,B,428,truncated,11,3.575
s11003,B,428,control,12,2.745
s11003,B,428,truncated,13,1.931
s11003,B,428,control,14,3.454
s11003,B,428,truncated,15,4.022
s11003,B,428,control,16,3.68
s11003,B,428,truncated,17,3.022
s11003,B,428,control,18,4.125
s11003,B,428,truncated,19,1.119
s11003,B,428,control,20,10.301
s11003,B,428,truncated,21,35.798
s11003,B,428,control,22,4.854
s11003,B,428,truncated,23,1.234
s11003,B,428,control,24,1.858
s11003,B,428,truncated,25,4.173
s11003,B,428,control,26,1.287
s11003,B,428,truncated,27,3.49
s11003,B,428,control,28,1.358
s11003,B,428,truncated,29,4.831
s11003,B,428,control,30,121.453
s11003,B,428,truncated,31,1.573
s11003,B,428,control,32,2.769
s11003,B,428,truncated,33,2.643
s11003,B,428,control,34,1.035
s11003,B,428,truncated,35,1.972
s11003,B,428,control,36,8.821
s11003,B,428,truncated,37,5.926
s11003,B,428,control,38,4.131
s11003,B,428,truncated,39,18.218
s11003,B,428,control,40,4.272
s11004,B,390,truncated,1,4.463
s11004,B,390,control,2,11.675
s11004,B,390,truncated,3,2.347
s11004,B,390,control,4,6.158
s11004,B,390,truncated,5,5.209
s11004,B,390,control,6,5.362
s11004,B,390,truncated,7,3.943
s11004,B,390,control,8,3.648
s11004,B,390,truncated,9,3.745
s11004,B,390,control,10,4.368
s11004,B,390,truncated,11,4.406
s11004,B,390,control,12,4.809
s11004,B,390,truncated,13,3.43
s11004,B,390,control,14,24.12
s11004,B,390,truncated,15,8.952
s11004,B,390,control,16,3.584
s11004,B,390,truncated,17,5.922
s11004,B,390,control,18,3.757
s11004,B,390,truncated,19,4.941
s11004,B,390,control,20,5.563
s11004,B,390,truncated,21,5.228
s11004,B,390,control,22,5.545
s11004,B,390,truncated,23,3.607
s11004,B,390,control,24,11.46
s11004,B,390,truncated,25,11.212
s11004,B,390,control,26,4.676
s11004,B,390,truncated,27,5.396
s11004,B,390,control,28,7.292
s11004,B,390,truncated,29,3.633
s11004,B,390,control,30,14.588
s11004,B,390,truncated,31,13.926
s11004,B,390,control,32,4.362
s11004,B,390,truncated,33,3.08
s11004,B,390,control,34,10.414
s11004,B,390,truncated,35,5.751
s11004,B,390,control,36,4.276
s11004,B,390,truncated,37,4.522
s11004,B,390,control,38,9.045
