participantid,check,subject_condition,group,duration_1,duration_min_1,duration_2,duration_min_2,dem_age,dem_gender,dem_ed,dem_language,dem_language_2_text
s41141,right,warning,2B,500,8.333333333333334,1385,23.083333333333332,31,female,6,English,NA
s41142,NA,no warning,2B,783,13.05,760,12.666666666666666,71,female,7,English,NA
s41143,right,warning,1A,889,14.816666666666666,807,13.45,28,male,3,English,NA
s41144,NA,no warning,1B,1012,16.866666666666667,1941,32.35,27,male,3,English,NA
s41145,NA,no warning,2B,507,8.45,532,8.866666666666667,24,male,3,English,NA
s41146,right,warning,2A,1407,23.45,1532,25.533333333333335,42,female,6,English,NA
s41147,NA,no warning,1B,1633,27.216666666666665,1133,18.883333333333333,49,female,5,English,NA
s41148,right,warning,1B,865,14.416666666666666,971,16.183333333333334,29,male,8,English,NA
s41149,wrong,warning,2A,650,10.833333333333334,782,13.033333333333333,46,female,3,English,NA
s41150,right,warning,2B,609,10.15,1177,19.616666666666667,36,male,6,English,NA
s41151,right,warning,1A,895,14.916666666666666,2533,42.21666666666667,26,male,6,English,NA
s41152,NA,no warning,1B,1153,19.216666666666665,808,13.466666666666667,40,female,6,English,NA
s41153,NA,no warning,2B,2434,40.56666666666667,656,10.933333333333334,29,male,6,English,NA
s41154,NA,no warning,1A,309,5.15,326,5.433333333333334,35,male,6,English,NA
s41155,NA,warning,1B,662,11.033333333333333,820,13.666666666666666,29,female,6,English,NA
s41156,NA,no warning,1A,642,10.7,546,9.1,46,male,6,English,NA
s41157,NA,warning,2B,376,6.266666666666667,401,6.683333333333334,27,male,6,English,NA
