participantID,subject_condition,control,truncated,difference,graphliteracy_sum_rating,dem_ed,dem_gender,dem_age
s31102,warning,3.15,2.85,-0.2999999999999998,44,6,female,24
s31103,warning,3.15,4.2,1.0500000000000003,51,6,female,37
s31104,warning,3.75,3.75,0,44,6,male,31
s31105,no warning,3.6,4.55,0.9499999999999997,48,8,female,45
s31106,warning,3.5,4.1,0.5999999999999996,35,2,male,21
s31107,warning,4.05,4.8,0.75,43,6,female,37
s31108,warning,3.45,3.85,0.3999999999999999,30,3,female,36
s31109,no warning,3,5.05,2.05,55,6,female,34
s31110,warning,4.25,5.75,1.5,45,6,male,31
s31111,no warning,3.6,3.8,0.19999999999999973,55,6,male,38
s31112,no warning,4.15,4.8,0.6499999999999995,56,3,male,26
s31113,no warning,3.7,4.8,1.0999999999999996,23,6,male,30
s31114,warning,4.25,5.4,1.1500000000000004,57,6,male,28
s31115,warning,3.25,4.25,1,28,8,male,36
s31116,no warning,3.8,5.8,2,58,8,male,50
s31117,no warning,3.05,3.6,0.5500000000000003,39,8,female,26
s31118,no warning,3.55,4.55,1,46,5,female,29
s31119,warning,3.6,3.7,0.10000000000000009,32,5,male,36
