participantID,condition,group,question,rating
s11007,control,B,6,5
s11007,truncated,B,7,5
s11007,control,B,8,2
s11007,truncated,B,9,5
s11007,control,B,10,1
s11007,truncated,B,11,3
s11007,control,B,12,3
s11007,truncated,B,13,3
s11007,control,B,14,7
s11007,truncated,B,15,6
s11007,control,B,16,3
s11007,truncated,B,17,3
s11007,control,B,18,1
s11007,truncated,B,19,3
s11007,control,B,20,5
s11007,truncated,B,21,3
s11007,control,B,22,3
s11007,truncated,B,23,5
s11007,control,B,24,3
s11007,truncated,B,25,5
s11007,control,B,26,3
s11007,truncated,B,27,3
s11007,control,B,28,5
s11007,truncated,B,29,7
s11007,control,B,30,3
s11007,truncated,B,31,5
s11007,control,B,32,5
s11007,truncated,B,33,5
s11007,control,B,34,3
s11007,truncated,B,35,5
s11007,control,B,36,1
s11007,truncated,B,37,4
s11007,control,B,38,5
s11007,truncated,B,39,1
s11007,control,B,40,2
s11008,truncated,B,1,4
s11008,control,B,2,4
s11008,truncated,B,3,3
s11008,control,B,4,4
s11008,truncated,B,5,7
s11008,control,B,6,3
s11008,truncated,B,7,7
s11008,control,B,8,3
s11008,truncated,B,9,6
s11008,control,B,10,2
s11008,truncated,B,11,6
s11008,control,B,12,5
s11008,truncated,B,13,7
s11008,control,B,14,7
s11008,truncated,B,15,7
s11008,control,B,16,6
s11008,truncated,B,17,7
s11008,control,B,18,2
s11008,truncated,B,19,7
s11008,control,B,20,5
s11008,truncated,B,21,2
s11008,control,B,22,2
s11008,truncated,B,23,7
s11008,control,B,24,2
s11008,truncated,B,25,7
s11008,control,B,26,4
s11008,truncated,B,27,2
s11008,control,B,28,4
s11008,truncated,B,29,7
s11008,control,B,30,2
s11008,truncated,B,31,6
s11008,control,B,32,7
s11008,truncated,B,33,5
s11008,control,B,34,4
s11008,truncated,B,35,7
s11008,control,B,36,2
s11008,truncated,B,37,5
s11008,control,B,38,6
s11008,truncated,B,39,2
s11008,control,B,40,2
s11009,control,A,1,4
s11009,truncated,A,2,5
s11009,control,A,3,2
s11009,truncated,A,4,5
s11009,control,A,5,4
s11009,truncated,A,6,4
s11009,control,A,7,3
s11009,truncated,A,8,3
s11009,control,A,9,3
s11009,truncated,A,10,3
s11009,control,A,11,3
s11009,truncated,A,12,4
s11009,control,A,13,4
s11009,truncated,A,14,7
s11009,control,A,15,4
s11009,truncated,A,16,3
s11009,control,A,17,2
s11009,truncated,A,18,4
